user_id,meal_id,date,heure,aliment_id,quantity
2,1,2024-05-01,07:11:00,334,1
2,1,2024-05-01,07:11:00,170,1
2,1,2024-05-01,07:11:00,341,5
2,1,2024-05-01,07:11:00,329,1
2,2,2024-05-01,11:22:00,218,1
2,2,2024-05-01,11:22:00,97,1
2,2,2024-05-01,11:22:00,98,1
2,2,2024-05-01,11:22:00,57,1
2,2,2024-05-01,11:22:00,,1
2,2,2024-05-01,11:22:00,395,1
2,3,2024-05-01,15:27:00,328,1
2,3,2024-05-01,15:27:00,470,1
2,4,2024-05-01,19:44:00,97,1
2,4,2024-05-01,19:44:00,100,1
2,4,2024-05-01,19:44:00,380,1
2,4,2024-05-01,19:44:00,98,1
2,4,2024-05-01,19:44:00,207,1
2,1,2024-05-02,07:28:00,449,1
2,1,2024-05-02,07:28:00,380,1
2,1,2024-05-02,07:28:00,254,1
2,1,2024-05-02,07:28:00,377,1
2,1,2024-05-02,07:28:00,338,1
2,2,2024-05-02,11:44:00,380,1
2,2,2024-05-02,11:44:00,435,1
2,2,2024-05-02,11:44:00,81,1
2,2,2024-05-02,11:44:00,436,1
2,2,2024-05-02,11:44:00,555,1
2,2,2024-05-02,11:44:00,68,1
2,3,2024-05-02,15:08:00,342,1
2,4,2024-05-02,20:35:00,379,1
2,4,2024-05-02,20:35:00,507,1
2,4,2024-05-02,20:35:00,508,1
2,4,2024-05-02,20:35:00,406,5
2,4,2024-05-02,20:35:00,416,1
2,1,2024-05-03,08:55:00,249,2
2,1,2024-05-03,08:55:00,548,1
2,2,2024-05-03,11:30:00,252,0
2,2,2024-05-03,11:30:00,546,1
2,2,2024-05-03,11:30:00,,1
2,2,2024-05-03,11:30:00,123,1
2,3,2024-05-03,16:02:00,336,1
2,3,2024-05-03,16:02:00,342,4
2,3,2024-05-03,16:02:00,348,0
2,4,2024-05-03,20:58:00,377,1
2,4,2024-05-03,20:58:00,379,1
2,4,2024-05-03,20:58:00,377,1
2,4,2024-05-03,20:58:00,380,1
2,4,2024-05-03,20:58:00,89,1
2,4,2024-05-03,20:58:00,59,1
2,4,2024-05-03,20:58:00,231,0
2,4,2024-05-03,20:58:00,511,1
2,4,2024-05-03,20:58:00,389,0
2,4,2024-05-03,20:58:00,416,1
2,4,2024-05-03,20:58:00,384,1
2,4,2024-05-03,20:58:00,394,5
2,4,2024-05-03,20:58:00,413,1
2,1,2024-05-04,07:55:00,248,1
2,2,2024-05-04,11:57:00,65,0
2,2,2024-05-04,11:57:00,212,1
2,2,2024-05-04,11:57:00,458,1
2,2,2024-05-04,11:57:00,546,1
2,2,2024-05-04,11:57:00,342,5
2,3,2024-05-04,16:09:00,238,1
2,4,2024-05-04,19:13:00,496,1
2,1,2024-05-05,07:00:00,341,1
2,1,2024-05-05,07:00:00,336,1
2,1,2024-05-05,07:00:00,346,1
2,1,2024-05-05,07:00:00,343,5
2,2,2024-05-05,12:23:00,39,1
2,2,2024-05-05,12:23:00,445,1
2,3,2024-05-05,15:47:00,238,1
2,3,2024-05-05,15:47:00,251,1
2,4,2024-05-05,20:22:00,25,1
2,4,2024-05-05,20:22:00,58,1
2,4,2024-05-05,20:22:00,554,1
2,4,2024-05-05,20:22:00,484,1
2,1,2024-05-06,07:56:00,237,3
2,2,2024-05-06,11:47:00,435,5
2,2,2024-05-06,11:47:00,493,1
2,2,2024-05-06,11:47:00,508,1
2,2,2024-05-06,11:47:00,328,1
2,2,2024-05-06,11:47:00,421,3
2,3,2024-05-06,16:58:00,255,1
2,3,2024-05-06,16:58:00,336,1
2,4,2024-05-06,20:26:00,505,1
2,4,2024-05-06,20:26:00,223,1
2,4,2024-05-06,20:26:00,99,1
2,4,2024-05-06,20:26:00,555,1
2,1,2024-05-07,08:46:00,58,1
2,1,2024-05-07,08:46:00,,1
2,1,2024-05-07,08:46:00,327,1
2,1,2024-05-07,08:46:00,328,1
2,2,2024-05-07,12:18:00,126,1
2,4,2024-05-07,20:29:00,422,4
2,1,2024-05-08,07:03:00,449,1
2,1,2024-05-08,07:03:00,346,1
2,1,2024-05-08,07:03:00,56,0
2,1,2024-05-08,07:03:00,418,1
2,2,2024-05-08,12:06:00,220,1
2,2,2024-05-08,12:06:00,508,1
2,2,2024-05-08,12:06:00,381,1
2,2,2024-05-08,12:06:00,57,1
2,2,2024-05-08,12:06:00,378,1
2,2,2024-05-08,12:06:00,377,1
2,2,2024-05-08,12:06:00,378,1
2,2,2024-05-08,12:06:00,349,1
2,2,2024-05-08,12:06:00,258,1
2,2,2024-05-08,12:06:00,399,1
2,3,2024-05-08,16:52:00,61,0
2,3,2024-05-08,16:52:00,374,1
2,3,2024-05-08,16:52:00,403,1
2,4,2024-05-08,19:48:00,220,1
2,4,2024-05-08,19:48:00,378,1
2,4,2024-05-08,19:48:00,98,1
2,4,2024-05-08,19:48:00,58,1
2,4,2024-05-08,19:48:00,207,0
2,4,2024-05-08,19:48:00,511,1
2,4,2024-05-08,19:48:00,381,1
2,4,2024-05-08,19:48:00,379,1
2,4,2024-05-08,19:48:00,401,1
2,4,2024-05-08,19:48:00,430,2
2,1,2024-05-09,08:27:00,349,1
2,1,2024-05-09,08:27:00,238,1
2,1,2024-05-09,08:27:00,244,1
2,1,2024-05-09,08:27:00,246,4
2,2,2024-05-09,11:18:00,247,1
2,2,2024-05-09,11:18:00,420,1
2,2,2024-05-09,11:18:00,422,0
2,2,2024-05-09,11:18:00,416,5
2,2,2024-05-09,11:18:00,428,1
2,2,2024-05-09,11:18:00,386,3
2,3,2024-05-09,15:15:00,240,1
2,4,2024-05-09,19:52:00,99,1
2,4,2024-05-09,19:52:00,508,1
2,4,2024-05-09,19:52:00,505,1
2,4,2024-05-09,19:52:00,419,1
2,4,2024-05-09,19:52:00,414,1
2,4,2024-05-09,19:52:00,417,1
2,4,2024-05-09,19:52:00,425,5
2,1,2024-05-10,08:00:00,247,0
2,2,2024-05-10,12:44:00,209,1
2,2,2024-05-10,12:44:00,382,1
2,2,2024-05-10,12:44:00,100,1
2,2,2024-05-10,12:44:00,56,1
2,2,2024-05-10,12:44:00,381,1
2,2,2024-05-10,12:44:00,379,1
2,2,2024-05-10,12:44:00,57,1
2,2,2024-05-10,12:44:00,349,1
2,2,2024-05-10,12:44:00,244,1
2,2,2024-05-10,12:44:00,252,0
2,2,2024-05-10,12:44:00,240,3
2,2,2024-05-10,12:44:00,408,0
2,2,2024-05-10,12:44:00,408,2
2,4,2024-05-10,20:56:00,330,1
2,4,2024-05-10,20:56:00,505,1
2,4,2024-05-10,20:56:00,378,1
2,4,2024-05-10,20:56:00,97,1
2,4,2024-05-10,20:56:00,228,1
2,1,2024-05-11,08:25:00,259,1
2,2,2024-05-11,11:56:00,258,1
2,2,2024-05-11,11:56:00,257,3
2,2,2024-05-11,11:56:00,408,1
2,2,2024-05-11,11:56:00,389,1
2,2,2024-05-11,11:56:00,420,0
2,2,2024-05-11,11:56:00,401,1
2,3,2024-05-11,15:30:00,330,1
2,3,2024-05-11,15:30:00,97,1
2,3,2024-05-11,15:30:00,100,1
2,4,2024-05-11,20:28:00,158,1
2,4,2024-05-11,20:28:00,456,1
2,4,2024-05-11,20:28:00,327,1
2,4,2024-05-11,20:28:00,100,1
2,4,2024-05-11,20:28:00,390,4
2,4,2024-05-11,20:28:00,546,1
2,2,2024-05-12,12:36:00,501,1
2,2,2024-05-12,12:36:00,323,1
2,2,2024-05-12,12:36:00,449,1
2,3,2024-05-12,16:36:00,475,1
2,3,2024-05-12,16:36:00,237,2
2,4,2024-05-12,20:11:00,365,1
2,4,2024-05-12,20:11:00,217,1
2,4,2024-05-12,20:11:00,506,1
2,1,2024-05-13,08:58:00,248,1
2,1,2024-05-13,08:58:00,343,1
2,2,2024-05-13,12:02:00,377,1
2,2,2024-05-13,12:02:00,549,0
2,2,2024-05-13,12:02:00,97,1
2,2,2024-05-13,12:02:00,549,1
2,3,2024-05-13,15:04:00,376,1
2,4,2024-05-13,19:14:00,379,1
2,4,2024-05-13,19:14:00,150,1
2,4,2024-05-13,19:14:00,380,0
2,4,2024-05-13,19:14:00,102,1
2,4,2024-05-13,19:14:00,506,1
2,4,2024-05-13,19:14:00,329,1
2,4,2024-05-13,19:14:00,89,1
2,4,2024-05-13,19:14:00,378,1
2,1,2024-05-14,07:01:00,245,4
2,1,2024-05-14,07:01:00,438,1
2,2,2024-05-14,12:56:00,554,1
2,2,2024-05-14,12:56:00,251,1
2,2,2024-05-14,12:56:00,390,1
2,2,2024-05-14,12:56:00,119,1
2,3,2024-05-14,16:37:00,342,1
2,3,2024-05-14,16:37:00,473,1
2,4,2024-05-14,20:31:00,385,0
2,4,2024-05-14,20:31:00,395,1
2,4,2024-05-14,20:31:00,396,1
2,4,2024-05-14,20:31:00,427,1
2,1,2024-05-15,08:30:00,59,1
2,1,2024-05-15,08:30:00,511,1
2,1,2024-05-15,08:30:00,235,1
2,1,2024-05-15,08:30:00,332,1
2,1,2024-05-15,08:30:00,97,1
2,1,2024-05-15,08:30:00,102,1
2,1,2024-05-15,08:30:00,552,1
2,2,2024-05-15,11:50:00,500,1
2,2,2024-05-15,11:50:00,98,1
2,2,2024-05-15,11:50:00,558,1
2,2,2024-05-15,11:50:00,97,1
2,2,2024-05-15,11:50:00,377,0
2,2,2024-05-15,11:50:00,548,1
2,4,2024-05-15,20:53:00,510,1
2,4,2024-05-15,20:53:00,377,1
2,4,2024-05-15,20:53:00,382,1
2,4,2024-05-15,20:53:00,550,1
2,4,2024-05-15,20:53:00,509,1
2,1,2024-05-16,08:31:00,244,2
2,1,2024-05-16,08:31:00,244,1
2,2,2024-05-16,11:54:00,458,1
2,2,2024-05-16,11:54:00,377,1
2,2,2024-05-16,11:54:00,228,1
2,3,2024-05-16,15:51:00,245,1
